"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"BX9272396_589",4.0933,1.20393429952729,"C1","BX9272396",3.3511378343358
"CR9338788_599",4.0933,1.20393429952729,"C1","CR9338788",3.3511378343358
"AL6628305_600",4.0933,1.20393429952729,"C1","AL6628305",3.3511378343358
"NR1D2_841",4.092,1.23637526143272,"C1","NR1D2",3.3511378343358
"MITF_91",4.0312,1.18054724703194,"C1","MITF",3.29307787170183
"NR1H4_655",4.0189,1.21763253949688,"C1","NR1H4",3.28350073003731
"VSX2_442",3.9564,1.30292714390815,"C1","VSX2",3.22459576192401
"HOXB5_445",3.9546,1.21665863046052,"C1","HOXB5",3.22459576192401
"TBPL2_794",3.9338,1.16632617218172,"C1","TBPL2",3.20646835178534
"HOXA1_413",3.92,1.29810555276939,"C1","HOXA1",3.19532459542908
"ELF2_326",3.9086,1.10385216004976,"C1","ELF2",3.18959721852896
"HOXC6_561",3.9072,1.12689774617277,"C1","HOXC6",3.18959721852896
"AC2261502_577",3.9064,1.24313579755132,"C1","AC2261502",3.18959721852896
"DMRTC2_852",3.9003,1.22621661843687,"C1","DMRTC2",3.18609002910724
"LBX1_481",3.8758,1.26948400465317,"C1","LBX1",3.16416745199506
"ETV7_321",3.8516,1.14367656369941,"C1","ETV7",3.16140074969028
"FOXP3_348",3.8505,1.19446023583188,"C1","FOXP3",3.16140074969028
"HMX1_569",3.8644,1.21092970190747,"C1","HMX1",3.16140074969028
"NR1I3_680",3.8684,1.17175478784565,"C1","NR1I3",3.16140074969028
"FOXD4L3_832",3.8505,1.19446023583188,"C1","FOXD4L3",3.16140074969028
"FOXD4L5_833",3.8505,1.19446023583188,"C1","FOXD4L5",3.16140074969028
"FOXD4L6_834",3.8505,1.19446023583188,"C1","FOXD4L6",3.16140074969028
"FOXD4L4_856",3.8505,1.19446023583188,"C1","FOXD4L4",3.16140074969028
"FOXD4L2_857",3.8505,1.19446023583188,"C1","FOXD4L2",3.16140074969028
"SOX3_759",3.8326,1.18956736822925,"C1","SOX3",3.14593377836127
"TBP_793",3.8152,1.19800657771348,"C1","TBP",3.13095325248469
"SOX2_769",3.7329,1.19650979595541,"C1","SOX2",3.05105932225057
"DMRTA2_306",3.7046,1.20974388872029,"C1","DMRTA2",3.02515213536646
"HOXC8_399",3.6846,1.23307687359244,"C1","HOXC8",3.00753183711181
