Metric,Model,Species,Samples,Value
ls(10),human_model,marmoset,Webster,0.78
ns(100),human_model,marmoset,Meadow,0.23
ns(50),human_model,marmoset,Meadow,0.15
ns(10),human_model,marmoset,Meadow,0.06
ls(100),human_model,marmoset,Meadow,0.74
ls(50),human_model,marmoset,Meadow,0.76
ls(10),human_model,marmoset,Meadow,0.79
ns(100),human_model,marmoset,Peregrine_rep1,0.21
ns(50),human_model,marmoset,Peregrine_rep1,0.14
ns(10),human_model,marmoset,Peregrine_rep1,0.05
ls(100),human_model,marmoset,Peregrine_rep1,0.73
ls(50),human_model,marmoset,Peregrine_rep1,0.74
ls(10),human_model,marmoset,Peregrine_rep1,0.79
ns(100),human_model,marmoset,Peregrine_rep2,0.22
ns(50),human_model,marmoset,Peregrine_rep2,0.14
ns(10),human_model,marmoset,Peregrine_rep2,0.05
ls(100),human_model,marmoset,Peregrine_rep2,0.75
ls(50),human_model,marmoset,Peregrine_rep2,0.77
ls(10),human_model,marmoset,Peregrine_rep2,0.8
ns(100),mouse_model,macaque,Dheni,0.2
ns(50),mouse_model,macaque,Dheni,0.14
ns(10),mouse_model,macaque,Dheni,0.05
ls(100),mouse_model,macaque,Dheni,0.87
ls(50),mouse_model,macaque,Dheni,0.89
ls(10),mouse_model,macaque,Dheni,0.91
ns(100),mouse_model,macaque,Mac3,0.19
ns(50),mouse_model,macaque,Mac3,0.13
ns(10),mouse_model,macaque,Mac3,0.05
ls(100),mouse_model,macaque,Mac3,0.84
ls(50),mouse_model,macaque,Mac3,0.85
ls(10),mouse_model,macaque,Mac3,0.87
ns(100),mouse_model,macaque,R2,0.22
ns(50),mouse_model,macaque,R2,0.14
ns(10),mouse_model,macaque,R2,0.05
ls(100),mouse_model,macaque,R2,0.87
ls(50),mouse_model,macaque,R2,0.89
ls(10),mouse_model,macaque,R2,0.91
ns(100),mouse_model,marmoset,Webster,0.22
ns(50),mouse_model,marmoset,Webster,0.15
ns(10),mouse_model,marmoset,Webster,0.06
ls(100),mouse_model,marmoset,Webster,0.71
ls(50),mouse_model,marmoset,Webster,0.73
ls(10),mouse_model,marmoset,Webster,0.77
ns(100),mouse_model,marmoset,Meadow,0.22
ns(50),mouse_model,marmoset,Meadow,0.15
ns(10),mouse_model,marmoset,Meadow,0.06
ls(100),mouse_model,marmoset,Meadow,0.73
ls(50),mouse_model,marmoset,Meadow,0.75
ls(10),mouse_model,marmoset,Meadow,0.78
