tf,pval,padj,mean_difference
PRRX1,0.0,0.0,-0.0012556932013710461
PRRX2,0.0,0.0,-0.004587041348248737
PTF1A,0.0,0.0,-0.0032723522669044526
RARA,0.0,0.0,0.0033708348155144785
RARB,0.0,0.0,0.0178168754703137
RARG,0.0,0.0,0.004560836565428772
RAX,9.979623972165194e-119,1.0628299530355932e-115,-0.000392272439959444
RAX2,7.94146757401782e-189,8.457662966328978e-186,-0.000396311483935435
RBAK,0.04195735118549421,1.0,0.0009641827501183919
RBPJ,0.0,0.0,0.004570802901380599
REL,1.201264220633583e-38,1.2793463949747658e-35,0.0025731135867221033
RELA,5.092728016595018e-181,5.423755337673694e-178,-0.0010658983074161134
RELB,0.00016137828293547713,0.17186787132628314,0.0019666526514894
REST,2.425631100137722e-07,0.0002583297121646674,-0.0008605532536922131
RFX1,0.0,0.0,-0.008245397645796987
RFX2,0.0,0.0,-0.004392480385253049
RFX3,0.0,0.0,-0.0019148402794690322
RFX4,0.0,0.0,-0.005094047924869768
RFX5,0.0,0.0,-0.003899405456833983
RFX6,0.0,0.0,-0.004273741911636603
RFX7,0.0,0.0,-0.00456490287378199
RFX8,0.0,0.0,-0.004676753618097697
RHOXF1,0.0,0.0,-0.00356929094144183
RHOXF2,0.0,0.0,0.0026151434237393113
RORA,0.0,0.0,0.004655191865351797
RORB,0.0,0.0,0.009008991036979386
RORC,0.0,0.0,0.0024564327969967964
RREB1,0.0,0.0,-0.012807403617858842
RUNX1,0.0,0.0,-0.011685066069828096
RUNX2,0.0,0.0,-0.038852716080626765
RUNX3,0.0,0.0,-0.02445199406915958
RXRA,0.0,0.0,0.002901502459406435
RXRB,0.0,0.0,0.004146135672728167
RXRG,0.0,0.0,0.001980660131478608
SCRT1,2.1328702918363378e-149,2.2715068608056996e-146,-0.012777204002639597
SCRT2,2.3095067062134747e-99,2.4596246421173508e-96,-0.00892682651847225
SEBOX,4.843504103797068e-93,5.158331870543878e-90,-0.000191838505831661
SHOX,6.199552520627728e-47,6.60252343446853e-44,0.00022285056560370853
SHOX2,2.8065595839261015e-166,2.988985956881298e-163,-0.0005466774069012789
SIX1,0.0,0.0,-0.007896686084128936
SIX2,0.0,0.0,-0.0066297001438396785
SIX3,0.0,0.0,-0.003232978308785786
SIX4,0.0,0.0,-0.004573606510044917
SIX5,0.0,0.0,-0.007289506873965859
SIX6,0.0,0.0,-0.004457636047650524
SKOR1,0.0,0.0,-0.0026084210940574048
SKOR2,0.0,0.0,-0.003931697870422149
SMAD3,0.0,0.0,-0.0014235311322899017
SMAD4,0.0,0.0,-0.0014869960697253617
SMAD5,2.6299158796136026e-63,2.800860411788487e-60,-0.0005234741154435049
SMAD9,0.0,0.0,-0.006000787213957748
SNAI1,1.3466730630713056e-288,1.4342068121709405e-285,-0.018894727150247426
SNAI2,1.3477733697931064e-259,1.4353786388296584e-256,-0.015346820834920671
SNAI3,5.15755003025435e-249,5.492790782220883e-246,-0.020809177074954638
SOHLH2,0.14455497858192404,1.0,-0.0009626016092938172
SOX1,0.0,0.0,-0.0008097453468079961
SOX10,0.0,0.0,-0.0046471041692385875
SOX11,0.0,0.0,-0.0014459827283613627
SOX12,0.0,0.0,-0.003859006104091983
SOX13,0.0,0.0,0.006321600571933879
SOX14,0.0,0.0,0.0016526502830963088
SOX15,0.0,0.0,0.0026130611952358152
SOX17,0.0,0.0,0.0020700037525401976
SOX18,0.0,0.0,0.0011824859511806868
SOX2,0.0,0.0,0.001285812594423466
SOX21,0.0,0.0,0.0021465971033303817
SOX3,1.25398360075142e-193,1.3354925348002623e-190,0.0011990157578165225
SOX30,1.8733280700251832e-305,1.9950943945768202e-302,0.0019203927913388746
SOX4,7.294000169415398e-102,7.768110180427399e-99,-0.0019565048059825285
SOX5,8.252494803735583e-83,8.788906965978396e-80,-0.00012503706009352883
SOX6,1.1437018427325862e-60,1.2180424625102043e-57,-9.478802268845371e-05
SOX7,9.504605983703834e-252,1.0122405372644583e-248,0.00046762276189952524
SOX8,0.0,0.0,0.0026216450913141964
SOX9,8.997149678077851e-07,0.0009581964407152911,0.0005711524875812134
SP1,0.0,0.0,-0.007713318358275399
SP2,6.08495753211542e-08,6.480479771702922e-05,-0.0005622655742398841
SP3,0.0,0.0,-0.007454968170036005
SP4,0.0,0.0,-0.010059249045324056
SP5,3.452606124195488e-147,3.677025522268195e-144,-0.0009621827043232861
SP7,0.0,0.0,-0.006508936070736954
SP8,0.0,0.0,-0.007277332422386491
SP9,0.0,0.0,-0.006922370993446766
SPDEF,0.0,0.0,-0.018779600882433495
SPI1,9.367511551402802e-75,9.976399802243985e-72,0.012437225887770631
SPIB,4.5245003929104203e-41,4.818592918449598e-38,0.0015936926079056501
SPIC,4.787998095014498e-57,5.099217971190441e-54,0.006349530321335423
SREBF1,4.314406081458494e-84,4.594842476753296e-81,-0.002659819394468804
SREBF2,3.796716462898814e-135,4.043503032987237e-132,-0.00206753680843947
SRF,4.301545317959301e-114,4.5811457636266556e-111,0.004330575344735771
SRY,0.0,0.0,0.0018910175189354953
STAT1,0.0,0.0,-0.002601616203333365
STAT2,0.0,0.0,-0.017188239806266797
STAT3,0.0,0.0,-0.005133041744522671
STAT4,0.0,0.0,-0.003954107289284536
STAT6,0.0,0.0,-0.001001311650436502
T,0.0,0.0,-0.019516773130145354
TBP,0.0,0.0,-0.002153640174067016
TBR1,0.0,0.0,-0.014255765546779292
TBX1,0.0,0.0,-0.021531937724523054
TBX10,0.0,0.0,-0.010421589073881549
TBX15,0.0,0.0,-0.03751160831149397
TBX18,0.0,0.0,-0.013549610518383812
TBX19,1.9900469076792095e-282,2.1193999566783582e-279,-0.014869938084505513
TBX2,5.360074844880228e-86,5.708479709797443e-83,-0.003473883334622258
TBX20,0.0,0.0,-0.02270635597365997
TBX21,6.0649275294682e-194,6.459147818883634e-191,-0.009438660086293293
TBX3,0.0,0.0,-0.008072542896089739
TBX4,0.0,0.0,-0.01051394252364754
TBX5,0.0,0.0,-0.009189193708631693
TBX6,0.0,0.0,-0.009935143670226784
TCF12,0.0,0.0,-0.0075787939278002675
TCF21,0.0,0.0,-0.004746013975220925
TCF3,0.0,0.0,-0.0177206726044781
TCF4,4.4962189585030407e-246,4.788473190805738e-243,-0.015397166823357095
TCF7,1.39603896801637e-225,1.486781500937434e-222,-0.009723786921032193
TCF7L1,2.0080686675648703e-187,2.1385931309565867e-184,-0.021754760629299125
TCF7L2,9.554446159866096e-160,1.0175485160257393e-156,-0.014065374940466766
TCFL5,0.0,0.0,-0.006173843257449595
TEAD1,2.0116206160244918e-28,2.142375956066084e-25,-0.0005637518274298255
TEAD2,0.0,0.0,0.002913981702707921
TEAD3,0.0,0.0,0.004374311847153678
TEAD4,7.60512524954014e-10,8.099458390760249e-07,0.000494380546065859
TEF,0.0,0.0,0.06936145848650693
TERF2,0.0,0.0,-0.0012509812978523651
TET1,0.0,0.0,-0.0036136719439336315
TFAP2A,1.3857788481048383e-12,1.4758544732316527e-09,0.00044691864067267174
TFAP2B,1.4199176450399078e-211,1.5122122919675018e-208,-0.0006882997627032294
TFAP2C,0.0,0.0,0.0017543262540249838
TFAP2D,0.0,0.0,-0.002614609699969128
TFAP2E,0.0,0.0,-0.002148811110172916
TFAP4,0.0,0.0,-0.0026805415266486082
TFCP2,0.0,0.0,-0.005557262085578448
TFCP2L1,0.0,0.0,-0.003774377411798535
TFDP1,0.0,0.0,-0.0024821519255943114
TFE3,0.0,0.0,-0.0011629114491851361
TFEB,0.0,0.0,0.004932870603269357
TFEC,0.0,0.0,0.0024715392132701464
TGIF1,0.0,0.0,-0.014652726179332803
TGIF2,0.0,0.0,-0.012285974197701444
TGIF2LX,0.0,0.0,-0.01538997471459938
TGIF2LY,0.0,0.0,-0.006866296199583616
THAP1,0.0,0.0,-0.0026028255815075674
THAP12,0.0,0.0,-0.0010091611899121673
THRA,0.0,0.0,0.014486533857874934
THRB,0.0,0.0,0.0010901117786192363
TIGD1,0.0,0.0,0.009437699800590227
TIGD2,0.0,0.0,-0.0036154345706136334
TIGD6,0.0,0.0,-0.0031043927930169517
TLX2,2.5140697205059392e-62,2.677484252338825e-59,-0.0009419592728333803
TLX3,0.0,0.0,0.00300163518390794
TP53,0.0,0.0,0.0016437054612872663
TP63,0.0,0.0,0.021575271528778917
TP73,0.0,0.0,0.0031298748615317066
TPRX1,2.304413511686083e-16,2.4542003899456784e-13,-0.0013102136891130576
TRPS1,0.0,0.0,-0.00781386516608518
TWIST1,5.642689825198875e-92,6.009464663836802e-89,-0.0006060519252257396
TWIST2,0.0,0.0,-0.0015807489674688462
UBP1,0.0,0.0,-0.0032364426267254623
UNCX,0.0,0.0,-0.001246611664787087
USF1,1.393148645065084e-197,1.4837033069943145e-194,0.006229821740831254
USF2,2.8958563716846673e-108,3.0840870358441707e-105,0.004023170288722011
VAX1,1.7917537128245133e-127,1.9082177041581065e-124,-0.000361237856967627
VAX2,6.671033128628494e-10,7.104650281989346e-07,-0.00015104370827449635
VDR,2.9517184880520825e-169,3.143580189775468e-166,-0.0033922829413666894
VENTX,0.0,0.0,-0.002546255179291322
VEZF1,0.0,0.0,-0.010765932404163778
VSX1,0.0,0.0,-0.0005602156425466003
VSX2,0.0,0.0,-0.0028196239833105097
WT1,0.0,0.0,-0.0023845332977669286
XBP1,4.086181379662653e-252,4.3517831693407254e-249,-0.004115023920419847
XPA,0.0,0.0,-0.008780892278568153
YBX1,1.1965254036891141e-99,1.2742995549289065e-96,-0.0018751024690024337
YY1,0.0,0.0,-0.009559417964877331
YY2,0.0,0.0,-0.011116716096444101
ZBED1,0.0,0.0,-0.004818154076336123
ZBTB1,0.0,0.0,-0.0035927692691806647
ZBTB12,0.0,0.0,-0.004075602253590681
ZBTB14,0.0,0.0,-0.010062484272618355
ZBTB18,0.0,0.0,-0.009004259062162102
ZBTB2,0.0,0.0,-0.013583980816829964
ZBTB20,0.0,0.0,-0.0032505916884376426
ZBTB22,0.0,0.0,0.0037393489044568323
ZBTB26,0.0,0.0,-0.010276750677531685
ZBTB3,0.0,0.0,-0.0008396591975651175
ZBTB32,0.0,0.0,0.002141664244201119
ZBTB33,0.0,0.0,-0.003979094341944128
ZBTB37,6.772850230631037e-288,7.213085495622055e-285,-0.0014950500540942546
ZBTB42,0.0,0.0,-0.002132017164441849
ZBTB43,0.0,0.0,-0.004600455146512836
ZBTB44,1.0730057923180251e-181,1.1427511688186967e-178,0.0005866609122468884
