,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
345,cMono,LCOR,3.015004088226816e-96,7.0726417488140065e-96,-0.00015478036294300657,0.0084403908562969,0.177957193919736
346,cMono,LCORL,0.007819881379542894,0.008278502653293421,8.3076462250916e-05,-0.0364978999480188,1.222844752129936e-11
347,cMono,LEF1,5.590863187037644e-61,8.873724730544099e-61,-0.003298280020555225,0.1286159079161767,7.083942291927192e-136
348,cMono,LHX1,5.983247822925297e-126,2.460293023712526e-125,0.0008601351191333644,-0.0109461888251818,0.0694099965825516
349,cMono,LHX2,0.0011868943589052065,0.001269118968106471,6.695871879084953e-05,0.0007387308132841,0.9293688000069854
350,cMono,LHX3,6.778300365837201e-12,7.880884158970108e-12,0.0005690646965137852,-0.0193591609890489,0.0006029734046555
351,cMono,LHX4,3.4669209855550184e-33,4.569642140613978e-33,0.0006660280220654319,-0.0338647831499163,3.843949798435019e-10
352,cMono,LHX5,1.7997618954353938e-06,1.9719613360480393e-06,0.000537652335693241,0.0,0.0
353,cMono,LHX6,3.9247796635646136e-94,8.893383705736837e-94,-0.00019135734747885956,0.0,0.0
354,cMono,LHX8,0.9188272516449002,0.9214228088529366,0.00019941097127558477,0.0,0.0
355,cMono,LHX9,2.019113620727765e-93,4.517554634611491e-93,-0.00038939065264245124,0.0,0.0
356,cMono,LIN28B,1.7468369710087127e-122,6.644219193300996e-122,-0.0020983110843447034,0.0,0.0
357,cMono,LIN54,1.485610255309465e-152,1.0987325846559585e-151,-0.001738693051481402,0.0244414317783074,9.616810573422164e-06
358,cMono,LMX1A,2.9315451109824935e-08,3.282960613245379e-08,-2.63918121770762e-05,0.0,0.0
359,cMono,LMX1B,0.002236362285373822,0.002388892511457493,0.00047225035031182167,-0.007296950526717,0.2579408861498434
360,cMono,MAF,7.517760133616184e-21,9.192209577842982e-21,0.000236595595770394,0.073341212140349,2.1128116551231649e-44
361,cMono,MAFA,2.9341214065206045e-212,6.6485942509456246e-211,0.0007857446844711929,0.0034715991181639,0.6403576297002076
362,cMono,MAFB,1.714859366989713e-178,2.0520508155551057e-177,0.013507283559648364,0.0765749419400499,2.3572559758822653e-48
363,cMono,MAFF,5.99193604871004e-176,6.6473040540377e-175,0.013551706614101627,-0.0274269180002365,5.331521304364965e-07
364,cMono,MAFG,7.498221970053737e-175,8.066269088997202e-174,0.009945682497261132,0.021133131177798,0.0001622675090814
